study_slug,testament,book,chapter,study_passages,occasion_count,distinct_collection_types,distinct_seasons,max_occurrence_count,has_pascha,has_major_feast,has_inferred_only,has_removed_historical
1-chronicles-01-from-adam-to-abraham-and-the-nations-around-israel,Old Testament,1 Chronicles,1,1 Chronicles 1,0,0,0,0,false,false,false,false
1-chronicles-02-04-judah-david-and-the-prayer-of-jabez,Old Testament,1 Chronicles,2,1 Chronicles 2; 1 Chronicles 3; 1 Chronicles 4,0,0,0,0,false,false,false,false
1-chronicles-05-east-of-jordan-privilege-and-exile,Old Testament,1 Chronicles,5,1 Chronicles 5,0,0,0,0,false,false,false,false
1-chronicles-06-levi-priesthood-singers-and-holy-service,Old Testament,1 Chronicles,6,1 Chronicles 6,0,0,0,0,false,false,false,false
1-chronicles-07-08-northern-tribes-and-benjamin,Old Testament,1 Chronicles,7,1 Chronicles 7; 1 Chronicles 8,0,0,0,0,false,false,false,false
1-chronicles-09-return-jerusalem-and-holy-order,Old Testament,1 Chronicles,9,1 Chronicles 9,0,0,0,0,false,false,false,false
1-chronicles-10-sauls-death-and-rejected-kingship,Old Testament,1 Chronicles,10,1 Chronicles 10,0,0,0,0,false,false,false,false
1-chronicles-11-12-davids-rise-and-the-gathering-of-the-mighty,Old Testament,1 Chronicles,11,1 Chronicles 11; 1 Chronicles 12,0,0,0,0,false,false,false,false
1-chronicles-13-16-the-ark-corrected-worship-and-davids-thanksgiving,Old Testament,1 Chronicles,13,1 Chronicles 13; 1 Chronicles 14; 1 Chronicles 15; 1 Chronicles 16,0,0,0,0,false,false,false,false
1-chronicles-17-davidic-covenant-and-messianic-promise,Old Testament,1 Chronicles,17,1 Chronicles 17,0,0,0,0,false,false,false,false
1-chronicles-18-20-davids-victories-and-royal-consolidation,Old Testament,1 Chronicles,18,1 Chronicles 18; 1 Chronicles 19; 1 Chronicles 20,0,0,0,0,false,false,false,false
1-chronicles-21-census-plague-intercession-and-temple-site-mercy,Old Testament,1 Chronicles,21,1 Chronicles 21,0,0,0,0,false,false,false,false
1-chronicles-22-david-prepares-solomon-and-the-temple,Old Testament,1 Chronicles,22,1 Chronicles 22,0,0,0,0,false,false,false,false
1-chronicles-23-26-levites-priests-musicians-gatekeepers-and-treasurers,Old Testament,1 Chronicles,23,1 Chronicles 23; 1 Chronicles 24; 1 Chronicles 25; 1 Chronicles 26,0,0,0,0,false,false,false,false
1-chronicles-27-civil-military-and-royal-administration,Old Testament,1 Chronicles,27,1 Chronicles 27,0,0,0,0,false,false,false,false
