source_key,title,edition,url,default_locator,authority_tier,confidence,notes
coptic_reader_fixture_wednesday_day,"Coptic Reader app, Pascha Wednesday Day fixture supplied by George","manual Coptic Reader fixture supplied by George, 2026-06-15",tests/fixtures/pascha_wednesday_day_coptic_reader.json,tests/fixtures/pascha_wednesday_day_coptic_reader.json,current_authority,confirmed_for_wednesday_day_only,Manual fixture from screenshots. Coptic Reader governs current practice where captured.
coptic_encyclopedia_lectionary,"Coptic Encyclopedia, Lectionary entry, Claremont CCDL",Claremont CCDL item 1199,https://ccdl.claremont.edu/digital/api/collection/cce/id/1199/download,CCDL item 1199 download,scholarly_structural,confirmed,Defines the lectionary as four books and explains historical development and calendar value.
fn_youssef_arrangement,"Fouad Naguib Youssef, The Arrangement of the Church Lectionary, ACCOT",ACCOT web article accessed 2026-06-16,https://accot.stcyrils.edu.au/fny-read1/,ACCOT article page,scholarly_structural,confirmed_for_principles,"Explains calendar logic, Sunday cycle, and the relation of daily readings to the Synaxarium."
ugo_zanetti_annual_lectionaries,"Ugo Zanetti, Les lectionnaires coptes annuels, Basse-Egypte","Publications de l'Institut Orientaliste de Louvain 33, Louvain-la-Neuve, 1985, xxiv + 383 p.",https://openlibrary.org/books/OL2304712M/Les_lectionnaires_coptes_annuels,"BnF catalogue, Persee RHR review, and Zanetti published bibliography",scholarly_structural,bibliographic_confirmed_content_not_fully_ingested,Standard scholarly study cited by the Coptic Encyclopedia for annual lectionaries.
st_mary_ottawa_days,"St. Mary Ottawa / UKMID Katameros of the Days, Readings for Week Days and Feasts","first edition, Christmas 1714 A.M., 1998 A.D.",https://ukmidcopts.org/pdf/Katameros_Days.pdf,UKMID PDF TOC pages 23 to 26 plus printed section page,historical_printed_witness,confirmed_local_extraction_and_step1_audit,"First edition, Christmas 1714 A.M., 1998 A.D. Source for the 69 dated foundational-reading collection used as bridge taxonomy."
katameros_api_sqlite,pierresaid Katameros API SQLite source bundled in repo,local repo snapshot of pierresaid Katameros API SQLite database,sources/katameros-api/Core/KatamerosDatabase.db,source_file plus source_row_id,working_local_source,confirmed_local,"Main local structured source for annual, Sunday, Great Lent, and Holy Fifty cycle tables."
copticchurch_date_resolved,"copticchurch.net date-resolved readings cache, 2020 to 2035",local cache covering 2020 to 2035,https://www.copticchurch.net/readings,row URL plus source_row_id,public_current_practice_reference,confirmed_local_cache,Date-resolved public readings used by the existing local package.
st_mary_ottawa_pascha,St. Mary Ottawa Holy Pascha extracted text,"Lent 1734 A.M., 2018 A.D. eBook extracted text",out/sources/St_Mary_Ottawa_Katameros_Holy_Pascha_EN.txt,extracted text line and printed source page where available,historical_printed_witness,confirmed_local_extraction_with_known_parser_caveats,Useful historical witness. Not current authority when it disagrees with Coptic Reader.
st_takla_synaxarium,St-Takla English Coptic Synaxarium day index,St-Takla English web index accessed 2026-06-16,https://st-takla.org/Full-Free-Coptic-Books/Coptic-Synaxarium-or-Synaxarion_English/Eng-Synexarium-or-Synexarion-index.html,source_url for each Coptic day page,synaxarium_text_source,confirmed_index_not_full_text_ingestion,Used to store day commemorations and source URLs. Full text should be opened when exact wording matters.
special_service,Special-service readings extracted in the local package,local package snapshot,out/data/reverse_lookup_crosswalk.csv,source_file plus source_row_id,working_local_source,confirmed_local,Local structured special-service rows retained with source labels and provenance.
agpeya,Agpeya readings extracted in the local package,local package snapshot,out/data/reverse_lookup_crosswalk.csv,source_file plus source_row_id,working_local_source,confirmed_local,Local structured Agpeya rows retained with source labels and provenance.
bright_saturday_service_order,Bright Saturday service-order readings extracted in the local package,local package snapshot,out/data/reverse_lookup_crosswalk.csv,source_file plus source_row_id,working_local_source,confirmed_local,Local structured Bright Saturday rows retained with source labels and provenance.
